country,gas,year,emission,population,per_capital,emission_per_capital,emission_per_pop,change_in_emission
Australia,GHG,2000,489528649.3192224,19153380,21549.9401378319,22716.009705281387,25.55834266950389,2.3825342060702375
Australia,GHG,2001,497352025.3868611,19005433.333333332,20315.2059528505,24481.761422510994,26.168938990439283,1.598144680299816
Australia,GHG,2002,501000842.6873185,19495210,22392.5297622439,22373.570472241026,25.698663553114766,0.7336488270293493
Australia,GHG,2003,501128976.31890225,19720737,28432.7151763845,17625.08340164176,25.411270193345324,0.02557553214810064
Australia,GHG,2004,518408437.6620186,19932722,34138.7465333635,15185.338956583617,26.007909891183882,3.4481066072140782
Australia,GHG,2005,524811845.2835623,20176844,37816.7258806642,13877.770564793927,26.010601325140954,1.2352051310010639
Australia,GHG,2006,529240641.2144755,20122633,40040.365099086,13217.677708602025,26.300764975163812,0.843882616353729
Australia,GHG,2007,535807551.6203253,20827622,47366.290521556,11312.00154625754,25.725815055618224,1.2408174834760213
Australia,GHG,2008,538590714.1225663,21249199,49790.7055434925,10817.093436286093,25.34640078068667,0.5194332356504695
Australia,GHG,2009,541475792.4670233,21691653,46952.0905196545,11532.517220726464,24.96240339392407,0.5356717575714381
Australia,GHG,2010,536893737.8041769,22031750,59089.2799565678,9086.144529072079,24.36909177909957,-0.8462159761510265
Australia,GHG,2011,538663877.7703595,21858300.333333332,69214.4380237958,7782.536319736756,24.643447548797347,0.3297002444882713
Australia,GHG,2012,541899740.3024831,22733465,69993.6862177016,7742.12317689642,23.837093918700166,0.6007201644033503
Australia,GHG,2013,532267334.86772597,23128129,66774.6445996725,7971.09948033084,23.013851871360885,-1.7775253830866204
Australia,GHG,2014,526711779.9986517,23475686,62347.7859128798,8447.962863262537,22.43648087636935,-1.0437527357291048
Australia,GHG,2015,534936016.9616537,23815995,52276.9121721542,10232.739363029794,22.461207980672388,1.5614302309743442
Australia,GHG,2016,543976812.3367639,23770073.333333332,54037.3186504597,10066.687724745872,22.884944640618016,1.6900704174791485
Australia,GHG,2017,550874867.9385018,24594202,57430.8037879349,9591.975588094241,22.39856645637463,1.2680789778714951
Australia,GHG,2018,552484024.7164413,24966643,58225.1616873622,9488.750373644016,22.128887120164343,0.29210931040678384
Australia,GHG,2019,546606624.3410562,25340217,54267.0881988172,10072.525401371546,21.570716002197464,-1.0638136330551062
Australia,GHG,2020,528149456.3996168,25655289,55774.1582890132,9469.429438322075,20.586377194956437,-3.3766820816871523
Belarus,GHG,1990,145339885.67881265,10189348,1867.96625990613,77806.4833387924,14.263904391018214,-72.4812959820897
Belarus,GHG,1991,139713443.29639474,10194050,1899.07925024816,73569.04314453325,13.70539121314833,-3.8712307747728802
Belarus,GHG,1992,126031217.04993051,10216470,1751.97077053085,71936.82632715548,12.336082526541018,-9.79306351890426
Belarus,GHG,1993,112296433.52069885,10239050,1657.17078461463,67763.94718231352,10.967466075534238,-10.897921840896196
Belarus,GHG,1994,96343448.11706397,10226955,1495.53429012426,64420.75501261763,9.420540925139886,-14.206137188403556
Belarus,GHG,1995,87955986.8850734,10193831,1369.15762566555,64240.950228296635,8.628354431721831,-8.705793072507877
Belarus,GHG,1996,88760161.51727693,10211978.5,1436.40172987962,61793.41034678064,8.691769329251617,0.9142920916279402
Belarus,GHG,1997,89022097.3047221,10176780,1401.27734535434,63529.248938375684,8.747570184746266,0.2951051270836045
Belarus,GHG,1998,87757928.01104222,10137900,1519.39160742841,57758.59731091555,8.656420758839822,-1.4200623574983122
Belarus,GHG,1999,84261445.07342802,10083698.666666666,1217.37705946734,69215.5683550472,8.356204192412866,-3.9842359737279285
Belarus,GHG,2000,81145921.32134947,9999545,1050.08579007663,77275.51604657735,8.114961362876958,-3.6974487553157727
Belarus,GHG,2001,79825858.00789742,9928549,1252.08065354358,63754.56547625588,8.040032637991455,-1.6267771589214082
Belarus,GHG,2002,79125275.7684391,9865548,1488.70656691815,53150.350463114104,8.020362960926155,-0.8776382201729818
Belarus,GHG,2003,80871075.43309513,9796749,1830.77957180768,44173.026987210935,8.254888987468712,2.2063741929508445
Belarus,GHG,2004,84545801.15319921,9730146,2392.50736490487,35337.73914069472,8.689057816110797,4.543930818805785
Belarus,GHG,2005,86538403.02063885,9663915,3143.58039511651,27528.611374175303,8.954797617801777,2.3568312562666427
Belarus,GHG,2006,89856618.31697415,9604924,3869.69652135355,23220.58534077084,9.355265936198366,3.834384713043436
Belarus,GHG,2007,88250972.575451985,9560953,4763.61799650891,18526.03895613125,9.230353143191058,-1.7868975837240613
Belarus,GHG,2008,91672819.71397626,9527985,6416.86703886436,14286.227088507707,9.621427795486271,3.8774044508106695
